battle_slug,side,casualties_low,casualties_high,confidence,source_slug
battle_of_assaye_b,British Empire,1138,1138,medium,
battle_of_assaye_b,Maratha Empire,1200,3000,medium,
battle_of_asseiceira_b,Miguelites,2900,2900,medium,
battle_of_atbara_b,Mahdist State,2000,2000,medium,
battle_of_atchoukpa_b,Dahomey,1500,1500,medium,
battle_of_athos_b,Ottoman Empire,1000,1000,medium,
battle_of_atlanta_b,Confederate States,5000,5500,medium,
battle_of_atlanta_b,United States,3722,3722,medium,
battle_of_attu_b,Japan,2351,2351,medium,
battle_of_attu_b,United States,1148,1148,medium,
battle_of_auerstadt_b,Empire français,4350,4350,medium,
battle_of_auray_b,Chouans,100,100,medium,
battle_of_auray_b,Empire français,185,185,medium,
battle_of_austerlitz_b,French Empire,8569,9288,medium,
battle_of_austerlitz_b,Russian Empire,27000,36000,medium,
battle_of_autossee_b,Red Sticks,200,200,medium,
battle_of_avay_b,Empire of Brazil,1663,1663,medium,
battle_of_avay_b,Paraguay,3600,3600,medium,
battle_of_avesnes_le_sec_b,France,2000,2000,medium,
battle_of_ayacucho_b,Royalists,2500,2500,medium,
battle_of_aydn_b,Greece,1500,1500,medium,
battle_of_azua_b,Haiti,1000,1000,medium,
battle_of_bad_axe_b,Sauks,300,300,medium,
battle_of_badajoz_b,Spanish Republic,3500,3500,medium,
battle_of_badli_ki_serai_b,Mughal Empire,1000,1000,medium,
battle_of_baidoa_b,Islamic Courts Union,1000,1000,medium,
battle_of_baiji_b,Islamic State of Iraq and the Levant,2000,2000,medium,
battle_of_baiji_october_november_2014_b,Irak,100,132,medium,
battle_of_bailen_b,France,3000,3000,medium,
battle_of_bailen_b,Spain,1000,1000,medium,
battle_of_bajaur_b,TTP,1500,1500,medium,
battle_of_bajo_palace_b,Empire espagnol,100,100,medium,
battle_of_bakenlaagte_b,Empire britannique,134,134,medium,
battle_of_bakenlaagte_b,Transvaal,100,100,medium,
battle_of_bakhmut_b,Russie,10000,65670,medium,
battle_of_bakhmut_b,Ukraine,5000,23000,medium,
battle_of_baku_b,Central Powers,2000,2000,medium,
battle_of_balaclava_b,Empire russe,627,627,medium,
battle_of_balaclava_b,Royaume-Uni de Grande-Bretagne et d'Irlande,615,615,medium,
battle_of_balakliia_b,Russia,1500,1500,medium,
battle_of_balls_bluff_b,United States,1002,1002,medium,
battle_of_balmaseda_b,Empire français,200,300,medium,
battle_of_bamut_b,side 0,1000,1000,medium,
battle_of_bamut_b,side 1,350,350,medium,
battle_of_bangui_2013_b,Séléka,1000,1000,medium,
battle_of_bapaume_b,French Republic,1569,1569,medium,
battle_of_bardia_b,Italy,1703,1703,medium,
battle_of_barrosa_b,France,3000,3000,medium,
battle_of_barrosa_b,United Kingdom,2800,2800,medium,
battle_of_basantar_b,Индия,272,272,medium,
battle_of_bascara_b,France,2500,2500,medium,
battle_of_basra_b,Iraq,3000,3000,medium,
battle_of_bassano_b,Habsburg monarchy,6000,6000,medium,
battle_of_batin_b,Ottoman Empire,5000,5000,medium,
battle_of_batin_b,Russia,1542,1542,medium,
battle_of_bautzen_1945_b,Germany,5000,5000,medium,
battle_of_bautzen_1945_b,Soviet Union,4902,4902,medium,
battle_of_bautzen_b,France,20000,25000,medium,
battle_of_bautzen_b,Russia,11000,20000,medium,
battle_of_baza_b,Kingdom of Spain,1500,1500,medium,
battle_of_bazeilles_b,Bavaria,4089,4089,medium,
battle_of_bazeilles_b,France,2655,2655,medium,
battle_of_beaulieu_sous_la_roche_1795_b,République française,100,300,medium,
battle_of_beaumont_b,France,7500,7500,medium,
battle_of_beaumont_b,North German Confederation,3400,3400,medium,
battle_of_beaune_la_rolande_b,French Republic,4000,8000,medium,
battle_of_beaune_la_rolande_b,North German Confederation,1000,1000,medium,
battle_of_beaupreau_b,République française,300,1200,medium,
battle_of_beaver_dams_b,États-Unis,462,462,medium,
battle_of_beerot_yitzhak_b,Izrael,170,200,medium,
battle_of_beersheba_b,Royaume d'Égypte,120,120,medium,
battle_of_beiping_tianjin_b,China,1937,1937,medium,
battle_of_bekeriyah_b,Emirate of Ha'il,1900,2000,medium,
battle_of_bekeriyah_b,Emirate of Riyadh,1000,1000,medium,
battle_of_belchite_1809_b,Kingdom of Spain,2000,2000,medium,
battle_of_belchite_b,Nationalist Spain,2000,2000,medium,
battle_of_belchite_b,Spanish Republic,2800,2800,medium,
battle_of_belleau_wood_b,Germany,10000,10000,medium,
battle_of_belleau_wood_b,United States,9777,9777,medium,
battle_of_belmont_b,Empire britannique,397,397,medium,
battle_of_belmont_b,République sud-africaine du Transvaal,100,100,medium,
battle_of_bembezi_b,Mthwakazi,2500,2500,medium,
battle_of_benina_airport_b,Ливийская национальная армия,700,700,medium,
battle_of_bennington_b,Royaume de Grande-Bretagne,207,700,medium,
battle_of_bentonville_b,Confederate States,2606,2606,medium,
battle_of_bentonville_b,United States,1527,1527,medium,
battle_of_berezina_b,French Empire,50000,60000,medium,
battle_of_berezina_b,Russian Empire,10000,10000,medium,
battle_of_bergen_b,France,2591,2591,medium,
battle_of_bergen_b,Great Britain,1017,1017,medium,
battle_of_bergendal_b,Empire britannique,107,107,medium,
battle_of_berlin_b,Germany,917000,925000,medium,
